Year,0612,0852,A522
1993,41.4,26.5,27.2
1994,40.2,39.5,41.5
1995,40.6,36.4,38.2
1996,42.2,38.2,40.3
1997,40.1,41.1,47.4
1998,38.4,40,50.9
1999,43.3,45,50.7
2000,43.6,37.6,41.3
2001,38.8,41.9,46.5
2002,40.5,40.5,42.7
2003,42.2,36.7,45.4
2004,42.5,39.9,42.2
2005,43.7,40.5,44.3
2006,44.4,40.7,42.2
2007,41.6,40,43.8
2008,41,38.9,42.8
2009,41.3,41.3,45.6
2010,41.2,37.8,45.9
2011,41.9,45.1,45.9
2012,40.5,44,46.2
2013,40.2,42,44.8
2014,42.2,43.7,47.2
2015,44.3,43.2,40.9
2016,41.8,40.5,41.7
2017,41.2,37.8,41.8
2018,39.8,38.9,45.1
2019,39.4,38.9,44.2
2020,37.7,40.8,40.7
2021,43.6,39.2,46.9
2022,43,38.1,43.8
2023,42.3,40.3,38.8
